Unit Title,Components,Delivery Date,Duration,Notes,SOU Evidence,Section,Status,Subsection
Unit 4: Obsessed or Inspired? - Shifting the Energy,"Discussion Forum, Video",,15 min,"From grief to curiosity transition, share obsession stories, respond to 2 others",No,Module 1,Not Started,Reframing Obsession
Unit 7: Redirect Workshop - From Obsession to Fuel,"Case Study, Discussion Forum, Reading, Video, Worksheet, Written Assignment",,35 min,"Case studies (10-12 min video), Redirect Plan with 4 constraints (7 days, $0-20, <2 hrs/day, observable output), Replacement Adequacy Test, Obsession-to-Fuel Worksheet, forum feedback",Yes,Module 1,Not Started,Redirection
Unit 6: Fire Inventory - Assessing Your Passion,"Assessment/Quiz, Reading, Written Assignment",,25 min,"Legacy Rising Passion Profile (12 questions), Vallerand framework reading, Top 2 Redirection Rules output, 200+ word reflection",Yes,Module 1,Not Started,Reframing Obsession
Unit 2: Eulogy for the Old Self - The Grief Work,"Discussion Forum, Reading, Video, Written Assignment",,30-45 min,"Includes Stoplight Check-In, Letter to Old Self assignment (300+ words), one-sentence sharing forum",Yes,Module 1,Not Started,Grief Work
Unit 1: Welcome to Module 1 - Creating Sacred Space,"Discussion Forum, Reading, Video",,10 min,"Facilitator welcome video (3-5 min), Community Guidelines, Introduction forum post",Yes,Module 1,Not Started,Introduction
Unit 5: Obsession Mapping Exercise,"Video, Worksheet, Written Assignment",,20 min,"Obsession-to-Fuel Worksheet, 300+ word reflection on patterns, triggers, needs",Yes,Module 1,Not Started,Reframing Obsession
Unit 8: Module 1 Assessment & Commitment,"Assessment/Quiz, Discussion Forum",,20 min,"Knowledge Check quiz (10 questions, 80% to pass, unlimited attempts), Weekly Commitment forum post, respond to 2 others, Certificate unlocked",Yes,Module 1,Not Started,Completion
Unit 3: Ritual of Release,"Activity Instructions, Video",,15 min,"Includes Stoplight Check-In, physical release ritual (fire/burial/shredding/sealed envelope), reflection upload",Yes,Module 1,Not Started,Grief Work
Unit 5: Integration with Module 2 & Beyond,"Discussion Forum, Reading, Video, Written Assignment",,15 min,"How Builder Type connects through entire curriculum, Path Forward reflection (300+ words)",Yes,Module 1.5,Not Started,Forward Integration
Unit 1: The Builder Personality & Energy Profile (BPEP),"Assessment/Quiz, Reading, Video",,30 min,"BPEP Assessment (35 questions), 4 axes: Structure, Stimulation, Social Energy, Control. Auto-scored with Builder Type output",Yes,Module 1.5,Not Started,Assessment
Unit 0: Why You Keep Breaking the Same Way,"Discussion Forum, Reading, Video",,10 min,"Reframe repeated failure as OS mismatch. Video (5-7 min): The Wrong Operating System, Reading on mismatch patterns",No,Module 1.5,Not Started,Introduction
Unit 2: Shame Scripts & Narrative Rewrite,"Reading, Video, Written Assignment",,30 min,"Rewrite 3 shame scripts to builder scripts with evidence (400+ words), record yourself saying new scripts (1-2 min audio/video)",Yes,Module 2,Not Started,Identity Reframe
Unit 6: Group Normalization & Peer Matching,"Activity Instructions, Discussion Forum, Reading",,20 min,"Builder Type Mixer activity, opposite-type regulation buddy prep for Module 3, video introductions",No,Module 1.5,Not Started,Tribe Building
Unit 2: Your Builder Type Breakdown,"Discussion Forum, Reading, Video, Written Assignment",,20 min,"8 Builder Types profiles, interpretation video (8-10 min), profile reflection assignment (300+ words)",Yes,Module 1.5,Not Started,Interpretation
Unit 7: Module 1.5 Wrap & Handoff,Video,,10 min,"Recap video (5-7 min): You're Not Broken, You're Specific. Preview Module 2, certificate unlocked",No,Module 1.5,Not Started,Completion
Unit 3: Mismatch Patterns — Where You've Been Fighting Your Wiring,"Discussion Forum, Reading, Video, Worksheet",,20 min,"Mismatch Inventory worksheet, identify 3 times in mismatched systems (150+ words each), video on cost of mismatch",Yes,Module 1.5,Not Started,Pattern Recognition
Unit 1: The Power of Language—Words That Build and Break,"Discussion Forum, Reading, Video, Written Assignment",,20 min,"Language Inventory: shame words vs builder words (300+ words), neuroscience of self-talk video (5-7 min)",Yes,Module 2,Not Started,Language Audit
Unit 4: Building Your Operating Rules,"Discussion Forum, Reading, Video, Worksheet",,25 min,"Builder Operating Rules worksheet (200+ words), non-negotiables, boundaries, early warning signs",Yes,Module 1.5,Not Started,Operating Manual
Unit 5.5: Type Clustering Moment — TRIBE AS NORMALIZER,"Activity Instructions, Discussion Forum",,10 min,"Group by Builder Type, discuss: What have we been shamed for? What do we need protected? Share one insight",No,Module 2,Not Started,Tribe Building
Unit 7.6: Builder Receipts Log - Identity Proof Tracking,"Discussion Forum, Reading, Video, Written Assignment",,"Daily, 7 days","Daily log: one action that proves builder word is real. 7 consecutive days, 60 seconds per entry. Creates behavioral evidence, not just affirmations",Yes,Module 2,Not Started,Evidence Building
Unit 4: Identity MVP - Designing Your Builder Self as a Product,"Discussion Forum, Reading, Video, Written Assignment",,40 min,"Identity MVP One-Pager: Mission, KPIs (5-7 measurable behaviors), Launch Date. 300+ word reflection, treat as business artifact",Yes,Module 2,Not Started,Identity Design
Unit 7: Builder Language Spotting — TRIBE AS CULTURE HOLDER,"Activity Instructions, Discussion Forum, Reading, Video",,20 min,"Practice spotting shame/hustle/borrowed language in small groups. Use 3-step enforcement: interrupt, rewrite, affirm. Reflection 200+ words",Yes,Module 2,Not Started,Culture Enforcement
